# apertures (x>=0 half) from screen_pos.stl [aligned, manifold-clean], SI metres
# x y z nx ny nz r_ap
3.89268835e-02 5.07504950e-02 1.88492604e-02  -2.21496407e-01 -2.88773498e-01 9.31423216e-01  2.60963561e-03
3.92739738e-02 5.96979592e-02 2.19806783e-02  -2.23471373e-01 -3.39685130e-01 9.13605253e-01  2.58531424e-03
3.93830441e-02 -7.64166667e-02 2.92589236e-02  -2.24091990e-01 4.34815624e-01 8.72191581e-01  2.47280705e-03
3.94271413e-02 -6.82260417e-02 2.54530485e-02  -2.24342906e-01 3.88210454e-01 8.93847249e-01  2.55365460e-03
3.93850909e-02 6.82157895e-02 2.54380484e-02  -2.24103636e-01 -3.88152119e-01 8.93932600e-01  2.54274210e-03
3.93774885e-02 7.64722222e-02 2.92852049e-02  -2.24060378e-01 -4.35131738e-01 8.72042039e-01  2.47001056e-03
4.03798769e-02 -4.29345794e-03 1.15529463e-02  -2.29764031e-01 2.44300449e-02 9.72939702e-01  2.68407074e-03
4.04081715e-02 4.16697248e-03 1.15565013e-02  -2.29925029e-01 -2.37103346e-02 9.72919473e-01  2.70821935e-03
4.20266949e-02 -2.42809524e-02 1.36325037e-02  -2.39134529e-01 1.38160141e-01 9.61106889e-01  2.65939860e-03
4.19850398e-02 2.42514563e-02 1.36179077e-02  -2.38897508e-01 -1.37992307e-01 9.61189942e-01  2.63322512e-03
4.39869330e-02 -3.51700000e-02 1.60654324e-02  -2.50288406e-01 2.00119505e-01 9.47263373e-01  2.59426555e-03
4.40044573e-02 3.51058252e-02 1.60565186e-02  -2.50388120e-01 -1.99754346e-01 9.47314093e-01  2.63966005e-03
4.52669330e-02 -4.52300000e-02 1.88612746e-02  -2.57571686e-01 2.57361535e-01 9.31354855e-01  2.59758575e-03
4.52860107e-02 4.52660194e-02 1.88765097e-02  -2.57680240e-01 -2.57566488e-01 9.31268167e-01  2.63830186e-03
4.56334714e-02 -1.66134615e-02 1.36402391e-02  -2.59657313e-01 9.45316376e-02 9.61062875e-01  2.64666654e-03
4.55885997e-02 1.65916667e-02 1.36259799e-02  -2.59401990e-01 -9.44076235e-02 9.61144010e-01  2.69910929e-03
4.59469330e-02 -5.47100000e-02 2.19744920e-02  -2.61440929e-01 3.11303330e-01 9.13640453e-01  2.60382406e-03
4.59372391e-02 5.47744898e-02 2.19937060e-02  -2.61385770e-01 -3.11670281e-01 9.13531124e-01  2.57806370e-03
4.64545417e-02 -7.23195652e-02 2.92511371e-02  -2.64329254e-01 4.11502860e-01 8.72235887e-01  2.51044980e-03
4.63177663e-02 -6.36947917e-02 2.54309916e-02  -2.63550994e-01 3.62427358e-01 8.93972754e-01  2.55459692e-03
4.63261883e-02 6.37414894e-02 2.54524149e-02  -2.63598916e-01 -3.62693070e-01 8.93850854e-01  2.52836539e-03
4.64436721e-02 7.23163043e-02 2.92463051e-02  -2.64267406e-01 -4.11484305e-01 8.72263380e-01  2.51810335e-03
4.78464613e-02 -8.44528302e-03 1.36467099e-02  -2.72249364e-01 4.80541898e-02 9.61026055e-01  2.67262836e-03
4.78794802e-02 8.46509434e-03 1.36570592e-02  -2.72437244e-01 -4.81669175e-02 9.60967167e-01  2.66934817e-03
4.84974047e-02 2.83018868e-06 1.36212275e-02  -2.75953273e-01 -1.61039510e-05 9.61171052e-01  2.67193183e-03
4.88533055e-02 -2.81852941e-02 1.60932977e-02  -2.77978371e-01 1.60376090e-01 9.47104817e-01  2.62141138e-03
4.88087254e-02 2.81396226e-02 1.60724932e-02  -2.77724708e-01 -1.60116217e-01 9.47223196e-01  2.67380993e-03
5.07650702e-02 -3.89156863e-02 1.88511176e-02  -2.88856432e-01 2.21432694e-01 9.31412649e-01  2.63086733e-03
5.07754683e-02 3.89313131e-02 1.88580586e-02  -2.88915598e-01 -2.21521612e-01 9.31373154e-01  2.58986649e-03
5.19734794e-02 -4.91123711e-02 2.20024042e-02  -2.95732356e-01 2.79452471e-01 9.13481631e-01  2.55691531e-03
5.19786340e-02 4.90061856e-02 2.19716268e-02  -2.95761686e-01 -2.78848268e-01 9.13656756e-01  2.57242794e-03
5.24266500e-02 -2.05349057e-02 1.60607976e-02  -2.98310925e-01 1.16844901e-01 9.47289745e-01  2.66991158e-03
5.24219330e-02 2.05500000e-02 1.60611747e-02  -2.98284085e-01 -1.16930788e-01 9.47287599e-01  2.64645990e-03
5.30792364e-02 -6.75202247e-02 2.92127904e-02  -3.02024182e-01 3.84194311e-01 8.72454082e-01  2.47434494e-03
5.28049117e-02 -5.85563830e-02 2.54782478e-02  -3.00463258e-01 3.33189490e-01 8.93703863e-01  2.53176722e-03
5.27697591e-02 5.85771739e-02 2.54741861e-02  -3.00263237e-01 -3.33307792e-01 8.93726974e-01  2.50299224e-03
5.30904723e-02 6.75415730e-02 2.92260834e-02  -3.02088116e-01 -3.84315785e-01 8.72378443e-01  2.47283550e-03
5.48786638e-02 -1.25365385e-02 1.60565826e-02  -3.12263037e-01 7.13336898e-02 9.47313729e-01  2.64730848e-03
5.49124092e-02 1.25238095e-02 1.60667518e-02  -3.12455051e-01 -7.12612613e-02 9.47255865e-01  2.65961474e-03
5.54171253e-02 -3.19932692e-02 1.88605993e-02  -3.15326917e-01 1.82043708e-01 9.31358698e-01  2.65122318e-03
5.53919330e-02 3.19550000e-02 1.88445971e-02  -3.15183571e-01 -1.81825953e-01 9.31449751e-01  2.59758575e-03
5.61719330e-02 -4.20000000e-03 1.60688770e-02  -3.19621820e-01 2.38982633e-02 9.47243773e-01  2.57039910e-03
5.61719330e-02 4.24000000e-03 1.60698909e-02  -3.19621820e-01 -2.41258658e-02 9.47238003e-01  2.60289089e-03
